// NPC Spawns for map square 54,51
// Format: npcTypeId - level,localX,localY
1231 - 0,0,38
1227 - 0,5,31
681 - 0,4,51
1229 - 0,6,40
1240 - 0,5,39
1257 - 0,8,47
1258 - 0,15,41
1261 - 0,17,46
1262 - 0,19,47
1262 - 0,18,40
1261 - 0,20,34
1258 - 0,19,23
1240 - 0,26,23
1257 - 0,10,17
1240 - 0,3,17
1240 - 0,25,15
1240 - 0,27,15
1262 - 0,24,15
1262 - 0,25,8
1240 - 0,19,7
1240 - 0,28,14
1258 - 0,27,22
681 - 0,27,3
1240 - 0,28,14
1229 - 0,0,0
1240 - 0,29,14
1240 - 0,48,26
1258 - 0,39,20
7898 - 0,40,25
1262 - 0,47,17
1240 - 0,45,27
1258 - 0,55,15
1261 - 0,44,27
1257 - 0,48,16
681 - 0,62,11
1261 - 0,40,7
1257 - 0,61,22
681 - 0,57,33
1257 - 0,45,34
1257 - 0,55,35
