// NPC Spawns for map square 47,50
// Format: npcTypeId - level,localX,localY
583 - 0,3,60
175 - 0,4,60
556 - 0,4,48
17376 - 0,61,59
17374 - 0,62,62
17375 - 0,61,60
17373 - 0,63,63
17372 - 0,61,62
6667 - 0,39,59
2690 - 0,40,57
3509 - 0,40,59
6668 - 0,41,59
7115 - 0,42,59
4560 - 0,56,55
734 - 0,39,55
2692 - 0,41,56
2691 - 0,38,55
1205 - 0,46,54
1207 - 0,47,54
708 - 0,47,55
3021 - 0,55,55
375 - 0,47,48
17137 - 0,35,54
6115 - 0,19,39
559 - 0,22,51
6115 - 0,24,35
6116 - 0,17,40
6115 - 0,18,33
2942 - 0,12,31
2950 - 0,11,31
1 - 0,9,42
4 - 0,8,35
2674 - 0,5,30
8 - 0,6,31
556 - 0,6,48
558 - 0,5,24
19293 - 0,5,14
557 - 0,6,6
1030 - 0,60,53
