// NPC Spawns for map square 53,53
// Format: npcTypeId - level,localX,localY
1052 - 0,63,31
1227 - 0,59,29
1052 - 0,62,43
1052 - 0,57,40
681 - 0,48,59
1052 - 0,39,56
1052 - 0,38,57
1052 - 0,33,50
1052 - 0,24,52
681 - 0,23,53
1052 - 0,33,43
1052 - 0,26,38
1227 - 0,24,37
1052 - 0,30,35
1052 - 0,20,33
1052 - 0,21,31
681 - 0,28,29
1229 - 0,29,33
1052 - 0,24,18
1227 - 0,20,21
1052 - 0,26,19
1237 - 0,33,15
1227 - 0,32,15
1229 - 0,32,14
1052 - 0,35,14
1229 - 0,37,20
1052 - 0,36,27
1237 - 0,39,23
681 - 0,34,17
681 - 0,41,33
1237 - 0,42,25
681 - 0,44,16
681 - 0,42,28
1052 - 0,51,29
1052 - 0,55,35
1234 - 0,59,14
1052 - 0,62,4
1052 - 0,62,2
1229 - 0,55,11
1052 - 0,62,2
1052 - 0,59,3
1052 - 0,57,2
1052 - 0,57,2
681 - 0,55,10
1229 - 0,52,4
1227 - 0,51,5
1052 - 0,50,15
1052 - 0,49,5
1052 - 0,43,10
1052 - 0,34,0
1234 - 0,19,0
1052 - 0,30,0
