// NPC Spawns for map square 35,49
// Format: npcTypeId - level,localX,localY
154 - 0,7,8
153 - 0,3,6
154 - 0,3,7
153 - 0,6,14
153 - 0,3,0
154 - 0,3,8
153 - 0,1,17
153 - 0,3,11
153 - 0,6,11
154 - 0,3,8
1192 - 0,0,20
154 - 0,13,8
153 - 0,11,4
153 - 0,14,2
154 - 0,8,4
153 - 0,6,8
153 - 0,15,6
154 - 0,12,8
153 - 0,13,3
153 - 0,6,9
153 - 0,14,7
153 - 0,10,3
1192 - 0,25,0
1194 - 0,23,8
1199 - 0,17,13
154 - 0,14,5
154 - 0,7,4
19294 - 0,16,16
154 - 0,20,2
153 - 0,0,8
153 - 0,18,3
153 - 0,9,0
154 - 0,39,1
154 - 0,39,5
154 - 0,42,3
154 - 0,38,5
1212 - 0,44,4
1211 - 0,43,0
1193 - 0,0,24
157 - 0,4,63
8723 - 0,15,54
7012 - 0,10,53
7012 - 0,12,51
153 - 0,14,44
156 - 0,34,57
1198 - 0,59,61
1211 - 0,56,59
154 - 0,6,43
1192 - 0,33,28
157 - 0,35,25
1194 - 0,37,24
1192 - 0,38,21
1192 - 0,38,24
153 - 0,44,15
153 - 0,45,18
154 - 0,18,44
7012 - 0,47,17
1196 - 0,48,20
153 - 0,23,49
1192 - 0,34,45
1028 - 0,44,51
157 - 0,54,45
1198 - 0,51,43
1192 - 0,57,40
1192 - 0,49,35
1193 - 0,54,36
157 - 0,52,32
153 - 0,52,10
1680 - 0,53,13
1197 - 0,54,12
7012 - 0,55,12
153 - 0,42,11
1211 - 0,44,8
1679 - 0,47,9
1211 - 0,41,6
7012 - 0,47,14
7012 - 0,57,14
154 - 0,7,3
