// NPC Spawns for map square 50,54
// Format: npcTypeId - level,localX,localY
708 - 0,45,10
7561 - 0,29,1
4247 - 0,41,19
3326 - 0,56,25
19501 - 0,50,27
640 - 0,53,29
5919 - 0,42,41
708 - 0,50,44
5919 - 0,48,43
105 - 0,32,45
2341 - 0,25,2
5919 - 0,14,10
5919 - 0,12,11
5919 - 0,12,12
5920 - 0,12,9
5919 - 0,7,8
5919 - 0,4,8
4582 - 1,7,14
5919 - 1,6,42
15 - 0,4,30
15 - 0,7,33
5853 - 0,10,39
647 - 0,10,40
13485 - 2,3,44
8141 - 2,4,41
884 - 2,1,42
5921 - 2,9,34
5921 - 2,11,34
5921 - 2,13,34
5921 - 2,15,34
5919 - 2,19,29
5921 - 2,17,34
5922 - 2,16,35
5919 - 1,6,37
5919 - 1,1,39
5919 - 1,5,38
8174 - 0,4,21
189 - 0,13,20
648 - 0,20,20
9359 - 0,5,14
