// NPC Spawns for map square 51,49
// Format: npcTypeId - level,localX,localY
2813 - 0,24,63
15919 - 1,11,54
15921 - 1,12,55
16 - 0,12,52
541 - 0,22,56
543 - 0,5,47
15906 - 0,27,46
9709 - 0,9,43
18 - 0,18,38
2809 - 0,12,38
18 - 0,23,34
496 - 0,4,34
496 - 0,5,34
496 - 0,6,34
496 - 0,7,34
496 - 0,8,34
18 - 0,18,33
8079 - 0,9,28
18 - 0,25,28
2897 - 0,6,22
15797 - 0,25,22
1028 - 0,6,14
15907 - 0,26,21
15813 - 0,27,13
15809 - 0,29,13
16633 - 0,51,4
5532 - 0,54,4
61 - 0,55,6
61 - 0,54,6
544 - 0,51,33
542 - 0,53,39
525 - 0,51,45
524 - 0,52,47
545 - 0,57,58
3 - 0,35,62
2 - 0,34,61
2819 - 0,29,56
19294 - 0,30,50
15787 - 0,26,44
15859 - 0,31,44
