// NPC Spawns for map square 49,51
// Format: npcTypeId - level,localX,localY
19289 - 0,49,6
19288 - 0,44,15
5147 - 0,54,24
5423 - 0,49,28
8876 - 0,51,30
43 - 0,53,30
5146 - 0,54,29
3579 - 0,55,29
12370 - 0,56,29
1765 - 0,52,27
19284 - 0,35,17
3806 - 0,33,43
5157 - 0,57,28
19284 - 0,35,17
19288 - 0,44,15
8876 - 0,50,28
5423 - 0,49,28
1765 - 0,57,28
5146 - 0,53,31
5147 - 0,54,26
43 - 0,55,27
12369 - 0,57,27
5157 - 0,58,32
5160 - 0,60,27
43 - 0,59,32
19292 - 0,21,17
19290 - 0,17,12
11627 - 0,7,40
11629 - 0,7,38
