// NPC Spawns for map square 53,52
// Format: npcTypeId - level,localX,localY
681 - 0,55,59
681 - 0,58,59
1052 - 0,60,62
681 - 0,57,57
1052 - 0,50,58
1052 - 0,47,59
1232 - 0,43,59
1234 - 0,29,61
1052 - 0,29,58
1227 - 0,31,48
1052 - 0,23,57
1232 - 0,26,46
1052 - 0,22,53
1052 - 0,22,53
1052 - 0,22,53
1227 - 0,18,61
1052 - 0,20,44
1052 - 0,21,53
1052 - 0,9,39
1232 - 0,32,41
1052 - 0,37,40
1229 - 0,34,52
1227 - 0,19,36
681 - 0,11,35
1052 - 0,25,36
1052 - 0,27,28
1052 - 0,28,34
1232 - 0,25,35
1052 - 0,29,28
1232 - 0,23,33
681 - 0,33,22
1052 - 0,31,24
1227 - 0,22,19
1052 - 0,24,19
1231 - 0,37,18
681 - 0,36,12
1052 - 0,34,8
18561 - 0,48,8
1052 - 0,26,6
1052 - 0,31,5
1052 - 0,35,4
