// NPC Spawns for map square 46,52
// Format: npcTypeId - level,localX,localY
9 - 0,19,62
527 - 0,11,61
526 - 0,10,60
577 - 0,35,56
6137 - 0,8,55
3230 - 0,7,53
3228 - 0,23,49
3229 - 0,29,50
736 - 0,10,42
3217 - 0,12,40
3296 - 0,24,31
3296 - 0,14,30
3296 - 0,17,33
3296 - 0,23,32
2693 - 0,25,30
8105 - 0,35,34
2693 - 0,34,29
3296 - 0,29,32
6112 - 0,35,29
3296 - 0,35,31
8854 - 0,16,23
3348 - 0,32,22
41 - 0,23,20
19 - 0,32,19
19 - 0,25,18
606 - 0,35,18
19 - 0,16,14
19 - 0,30,15
6512 - 0,16,11
19 - 0,13,8
4249 - 1,37,13
3348 - 1,37,14
4581 - 1,38,18
3348 - 1,41,8
3348 - 1,43,8
3349 - 1,43,16
19 - 1,30,0
19 - 1,26,4
19 - 1,31,8
19 - 1,26,9
3348 - 1,23,12
19 - 1,12,12
608 - 2,13,9
3349 - 2,21,1
3350 - 2,17,9
3349 - 2,22,24
19 - 2,37,11
605 - 2,38,9
3348 - 2,40,25
3348 - 2,41,12
3349 - 2,46,17
3350 - 3,38,25
4247 - 0,39,40
3230 - 0,42,45
2693 - 0,45,55
3296 - 0,45,54
3223 - 0,45,36
6113 - 0,47,56
3226 - 0,47,55
46 - 0,48,55
2693 - 0,48,54
6114 - 0,47,58
11668 - 0,52,46
2290 - 0,53,45
11657 - 0,54,46
12271 - 0,55,44
12264 - 0,55,46
2340 - 0,56,43
7559 - 0,57,48
18928 - 0,56,49
10110 - 0,54,45
18930 - 0,63,59
36 - 0,45,61
8080 - 0,63,38
708 - 0,46,7
19 - 0,41,1
19 - 0,39,3
19 - 0,42,2
584 - 0,0,8
3228 - 0,5,25
6200 - 0,1,38
6200 - 0,2,38
6200 - 0,3,38
6200 - 0,4,38
6200 - 0,5,38
