// NPC Spawns for map square 34,50
// Format: npcTypeId - level,localX,localY
1196 - 0,28,15
1197 - 0,18,17
7012 - 0,22,19
1211 - 0,34,17
153 - 0,34,18
1212 - 0,36,17
153 - 0,40,16
154 - 0,28,20
1211 - 0,35,24
1212 - 0,34,27
1212 - 0,35,26
7014 - 0,24,27
7010 - 0,30,28
154 - 0,33,32
7012 - 0,25,29
1192 - 0,10,28
1189 - 0,34,43
1183 - 0,14,46
1184 - 0,14,47
1183 - 0,31,43
1183 - 0,35,49
1184 - 0,22,51
1184 - 0,29,50
1182 - 0,29,52
1183 - 0,29,51
20104 - 0,10,54
1184 - 0,22,53
1184 - 0,19,53
1184 - 0,34,55
6554 - 0,49,11
157 - 0,59,15
157 - 0,53,17
157 - 0,57,21
