// NPC Spawns for map square 53,51
// Format: npcTypeId - level,localX,localY
1227 - 0,38,63
1231 - 0,44,61
681 - 0,45,61
8722 - 0,32,56
1232 - 0,41,51
1227 - 0,29,45
681 - 0,40,43
1231 - 0,28,55
1234 - 0,30,47
1232 - 0,36,37
1232 - 0,38,52
1229 - 0,45,39
1232 - 0,42,41
1232 - 0,32,34
1231 - 0,45,56
1232 - 0,26,32
1227 - 0,43,32
1232 - 0,43,31
1227 - 0,40,29
1227 - 0,42,29
681 - 0,40,22
1229 - 0,26,15
1227 - 0,44,22
1234 - 0,34,11
1229 - 0,41,18
1238 - 0,45,8
1238 - 0,46,7
1238 - 0,47,12
1232 - 0,47,22
1238 - 0,48,14
1232 - 0,51,24
1227 - 0,55,32
1232 - 0,62,34
1232 - 0,60,46
18165 - 0,0,48
18165 - 0,10,46
18165 - 0,3,36
18165 - 0,3,40
18165 - 0,9,39
18165 - 0,4,31
18165 - 0,3,38
18165 - 0,5,36
18165 - 0,0,41
18165 - 0,4,31
18165 - 0,5,32
18165 - 0,2,33
18165 - 0,6,29
