// NPC Spawns for map square 40,60
// Format: npcTypeId - level,localX,localY
1385 - 0,22,7
1397 - 0,17,12
1399 - 0,20,11
1399 - 0,21,11
1399 - 0,23,12
1399 - 0,16,14
1325 - 0,11,24
1325 - 0,12,25
1325 - 0,13,26
1325 - 0,15,28
1404 - 0,28,39
3916 - 0,34,51
1363 - 0,36,44
1370 - 0,43,38
1402 - 0,42,38
1362 - 0,45,38
1367 - 0,48,38
1361 - 0,56,57
1401 - 0,55,56
1401 - 0,56,58
1364 - 0,58,40
1369 - 0,45,36
1403 - 0,44,33
1365 - 0,42,30
5829 - 0,33,25
1366 - 0,48,22
1402 - 0,48,26
4561 - 0,55,16
3942 - 0,59,25
7557 - 0,29,23
2337 - 0,30,28
3917 - 0,22,24
