// NPC Spawns for map square 40,51
// Format: npcTypeId - level,localX,localY
366 - 0,53,58
25 - 0,54,53
24 - 0,55,53
31 - 0,53,47
290 - 0,55,40
16867 - 0,53,36
289 - 0,55,37
590 - 0,52,31
591 - 0,54,29
24 - 0,62,28
1215 - 0,53,23
1216 - 0,51,19
19586 - 0,29,32
23 - 0,30,36
20 - 0,25,30
15 - 0,23,41
20 - 0,21,37
20 - 0,17,43
20 - 0,11,39
372 - 0,1,41
372 - 0,1,39
20 - 0,12,37
15611 - 0,8,16
372 - 0,0,40
372 - 0,1,41
372 - 0,1,39
20 - 0,10,36
20 - 0,12,40
20 - 0,11,41
20 - 0,18,43
15611 - 0,8,16
887 - 0,10,11
889 - 0,13,9
890 - 0,10,10
15607 - 0,8,9
885 - 0,5,6
20 - 0,20,35
20 - 0,20,23
23 - 0,23,26
20 - 0,22,28
15 - 0,28,27
15 - 0,27,29
131 - 0,35,7
131 - 0,35,8
6891 - 0,37,8
1469 - 0,36,10
19586 - 0,29,32
7571 - 0,39,18
1463 - 0,40,11
132 - 0,41,12
132 - 0,41,13
1463 - 0,41,13
1463 - 0,42,16
132 - 0,40,16
1463 - 0,42,14
1463 - 0,42,18
1463 - 0,44,14
132 - 0,40,11
128 - 0,49,10
7572 - 0,39,9
128 - 0,50,9
28 - 0,52,7
109 - 0,43,8
5445 - 0,36,6
109 - 0,42,7
109 - 0,43,5
109 - 0,47,6
107 - 0,44,4
107 - 0,42,5
107 - 0,48,5
8693 - 0,36,2
80 - 0,56,3
7580 - 0,37,1
80 - 0,56,1
131 - 0,35,3
7574 - 0,32,0
