// NPC Spawns for map square 44,83
// Format: npcTypeId - level,localX,localY
6271 - 0,52,0
6279 - 0,43,0
6282 - 0,43,2
6280 - 0,43,1
6275 - 0,37,3
6283 - 0,43,3
6275 - 0,44,4
6282 - 0,44,3
6281 - 0,45,4
6213 - 0,43,4
6268 - 0,43,6
6214 - 0,44,5
6278 - 0,27,8
6277 - 0,23,6
6214 - 0,22,9
6276 - 0,27,11
6270 - 0,28,13
6269 - 0,28,15
6278 - 0,22,17
6276 - 0,29,17
6268 - 0,48,17
6271 - 0,42,17
6277 - 0,25,18
6218 - 0,47,19
6271 - 0,55,19
6273 - 0,53,21
6274 - 0,53,19
6275 - 0,56,33
6275 - 0,50,32
6275 - 0,55,34
6280 - 0,62,18
6280 - 0,63,18
6214 - 0,61,16
6281 - 0,61,15
6273 - 0,56,10
6210 - 0,63,9
6275 - 0,62,8
6275 - 0,63,7
6274 - 0,57,7
6273 - 0,58,6
6275 - 0,60,5
6214 - 0,63,5
6213 - 0,60,4
6275 - 0,62,5
