// NPC Spawns for map square 41,51
// Format: npcTypeId - level,localX,localY
99 - 0,0,62
15 - 0,7,35
21 - 0,3,25
15 - 0,6,37
845 - 0,12,46
4247 - 0,15,28
23 - 0,20,30
99 - 0,18,49
7563 - 0,8,46
21 - 0,25,38
2256 - 0,29,51
99 - 0,1,53
16880 - 0,31,46
32 - 0,30,42
572 - 0,35,32
32 - 0,40,38
2256 - 0,31,45
569 - 0,35,52
32 - 0,37,40
32 - 0,38,44
573 - 0,40,32
32 - 0,44,35
15785 - 0,40,41
6138 - 0,39,45
21 - 0,38,51
23 - 0,47,25
570 - 0,45,38
571 - 0,45,46
589 - 0,37,27
11271 - 0,56,26
574 - 0,31,38
494 - 0,33,22
11272 - 0,58,24
32 - 0,34,55
23 - 0,38,56
99 - 0,22,59
32 - 0,28,47
