// NPC Spawns for map square 48,49
// Format: npcTypeId - level,localX,localY
16161 - 0,32,51
16186 - 0,29,33
16160 - 0,29,34
16199 - 0,32,34
4585 - 0,35,27
16144 - 0,31,23
16168 - 0,25,22
16189 - 0,35,21
2385 - 0,39,21
16202 - 0,19,20
16147 - 0,27,20
16145 - 0,34,19
16175 - 1,20,19
16196 - 1,21,24
16172 - 1,24,11
16200 - 1,28,27
16199 - 1,26,28
16187 - 1,33,12
16176 - 1,39,19
16197 - 1,34,30
16203 - 1,36,29
16202 - 1,34,27
16207 - 1,42,20
16179 - 2,22,23
16184 - 2,25,11
16181 - 2,38,24
16117 - 3,31,22
15417 - 3,37,19
