// NPC Spawns for map square 62,86
// Format: npcTypeId - level,localX,localY
7913 - 0,5,52
7913 - 0,4,49
7913 - 0,3,46
7913 - 0,4,48
7913 - 0,1,48
7914 - 0,12,48
7914 - 0,13,46
7914 - 0,13,51
7914 - 0,16,48
7914 - 0,13,47
7915 - 0,22,39
7914 - 0,25,47
7915 - 0,26,37
7915 - 0,24,40
7915 - 0,33,43
7915 - 0,29,39
7915 - 0,30,38
7918 - 0,42,39
7919 - 0,38,41
7917 - 0,39,40
7917 - 0,43,39
7918 - 0,43,42
7916 - 0,44,39
7916 - 0,46,40
7919 - 0,47,40
7921 - 0,51,31
7920 - 0,51,38
7920 - 0,51,41
7921 - 0,55,28
7921 - 0,54,27
7921 - 0,51,27
7921 - 0,60,22
7921 - 0,59,23
7921 - 0,53,26
7921 - 0,54,20
7921 - 0,56,19
7921 - 0,57,19
7922 - 0,47,16
7922 - 0,45,8
7922 - 0,47,7
7922 - 0,52,6
7922 - 0,59,8
7922 - 0,57,10
7922 - 0,46,5
7922 - 0,52,4
