// NPC Spawns for map square 48,50
// Format: npcTypeId - level,localX,localY
18150 - 0,48,21
18150 - 0,51,20
18150 - 0,42,18
18150 - 0,41,26
178 - 0,39,21
18196 - 0,61,31
18150 - 0,45,28
18150 - 0,42,28
18200 - 0,54,28
18201 - 0,53,31
18197 - 0,57,31
18150 - 0,38,33
18150 - 0,34,31
18150 - 0,40,34
18150 - 0,38,34
18199 - 0,55,32
18202 - 0,58,32
18150 - 0,31,24
15836 - 0,50,37
2252 - 0,26,37
15567 - 0,19,35
327 - 0,14,27
327 - 0,14,28
970 - 0,9,47
3671 - 0,13,50
11572 - 0,18,50
2634 - 0,23,52
6136 - 0,6,50
451 - 0,6,34
451 - 0,4,31
2242 - 0,3,60
17134 - 0,21,63
922 - 0,13,61
2242 - 0,5,60
17344 - 0,4,60
4593 - 0,21,58
3299 - 0,7,54
2234 - 0,9,55
3820 - 0,16,55
2233 - 0,7,53
1756 - 0,13,48
2574 - 0,16,48
8339 - 0,5,42
451 - 0,4,33
4459 - 0,18,41
4457 - 0,18,42
4458 - 0,18,44
4456 - 0,18,45
11570 - 0,17,55
11572 - 0,18,50
451 - 0,6,29
8436 - 0,20,48
327 - 0,14,28
327 - 0,14,27
18150 - 0,34,24
18150 - 0,34,27
18150 - 0,43,23
178 - 0,44,11
