// NPC Spawns for map square 50,50
// Format: npcTypeId - level,localX,localY
6539 - 0,23,12
708 - 0,29,12
8081 - 0,20,25
7872 - 0,30,8
14935 - 0,32,14
14934 - 0,33,15
155 - 0,34,18
19293 - 0,33,25
14937 - 0,35,28
14936 - 0,36,28
29 - 0,33,33
7883 - 0,8,34
11268 - 0,12,8
278 - 0,11,16
3384 - 0,10,24
47 - 0,9,13
47 - 0,10,9
47 - 0,6,8
47 - 0,6,9
7876 - 0,7,34
7870 - 0,23,38
7909 - 0,32,37
520 - 0,14,40
521 - 0,15,43
2238 - 0,12,40
13937 - 0,22,47
2342 - 0,26,46
3021 - 0,30,49
14938 - 0,23,43
3331 - 0,30,51
16014 - 0,10,50
2693 - 0,35,57
46 - 0,35,59
16100 - 0,7,58
16099 - 0,8,60
16098 - 0,12,60
16101 - 0,6,54
16028 - 0,0,57
3309 - 0,54,58
14998 - 0,59,61
3309 - 0,59,58
3309 - 0,54,63
329 - 0,38,54
14998 - 0,62,58
2693 - 0,38,50
4265 - 0,50,51
4271 - 0,54,49
4271 - 0,43,51
4264 - 0,45,48
46 - 0,39,45
4263 - 0,47,45
4270 - 0,55,44
4271 - 0,53,43
329 - 0,39,42
4271 - 0,42,45
4264 - 0,52,42
17483 - 0,48,42
4263 - 0,42,41
4262 - 0,52,39
4271 - 0,55,41
4271 - 0,56,41
4270 - 0,50,38
59 - 0,48,39
59 - 0,52,36
4270 - 0,58,36
46 - 0,62,11
46 - 0,62,10
4263 - 0,59,34
4270 - 0,59,32
4265 - 0,55,25
4262 - 0,56,34
17478 - 0,56,33
46 - 0,43,27
46 - 0,40,30
2244 - 0,38,19
456 - 0,46,5
6267 - 0,59,7
6267 - 0,59,5
6267 - 0,59,6
47 - 0,0,1
47 - 0,4,11
17517 - 1,8,11
17516 - 1,11,10
7877 - 1,10,11
2079 - 1,9,19
741 - 1,12,19
17515 - 1,15,17
494 - 2,8,22
0 - 0,22,23
