// NPC Spawns for map square 41,148
// Format: npcTypeId - level,localX,localY
1594 - 2,7,45
1594 - 2,15,41
1593 - 2,15,36
4699 - 2,20,35
83 - 2,8,33
1594 - 2,15,40
4700 - 2,9,22
4698 - 2,16,27
4698 - 2,10,15
1593 - 2,13,10
1594 - 2,14,4
4700 - 2,11,3
4701 - 2,24,3
1587 - 0,12,59
1594 - 0,20,44
4688 - 0,21,50
1593 - 0,22,61
1593 - 0,30,60
1593 - 0,40,50
1593 - 0,33,46
1593 - 0,29,42
1593 - 0,30,41
1593 - 0,33,40
1593 - 0,47,50
1593 - 0,48,44
1593 - 0,31,32
1594 - 0,43,31
112 - 0,19,18
1594 - 0,20,10
1587 - 0,27,15
1588 - 0,25,14
1586 - 0,34,8
110 - 0,35,12
1594 - 0,38,10
1593 - 0,53,6
1593 - 0,45,17
1586 - 0,44,24
1593 - 0,58,33
