// NPC Spawns for map square 48,155
// Format: npcTypeId - level,localX,localY
7105 - 0,45,4
7110 - 0,47,7
7109 - 0,53,9
7108 - 0,51,9
7105 - 0,43,13
7105 - 0,40,12
2547 - 0,41,8
2547 - 0,35,14
181 - 0,37,6
181 - 0,38,21
181 - 0,34,15
7105 - 0,34,21
2547 - 0,34,22
181 - 0,33,23
93 - 0,36,32
93 - 0,38,36
63 - 0,48,34
93 - 0,41,39
63 - 0,39,34
63 - 0,49,36
93 - 0,37,32
63 - 0,42,36
93 - 0,35,31
93 - 0,42,37
63 - 0,47,36
63 - 0,53,28
63 - 0,51,36
63 - 0,54,38
63 - 0,54,36
134 - 0,16,22
134 - 0,17,30
134 - 0,16,30
7106 - 0,60,4
