// NPC Spawns for map square 45,82
// Format: npcTypeId - level,localX,localY
6214 - 0,7,63
6254 - 0,9,59
6256 - 0,15,57
6256 - 0,12,58
6256 - 0,8,50
6254 - 0,9,58
6258 - 0,14,50
6256 - 0,11,47
6254 - 0,17,50
6257 - 0,22,59
6255 - 0,20,63
6255 - 0,18,58
6254 - 0,23,58
6213 - 0,23,57
6601 - 0,19,60
6210 - 0,17,58
6258 - 0,17,51
6255 - 0,21,62
6256 - 0,26,49
6259 - 0,24,55
6257 - 0,22,57
6256 - 0,8,49
6259 - 0,10,49
6258 - 0,2,41
6256 - 0,7,34
6255 - 0,9,36
6212 - 0,9,37
6255 - 0,7,36
6256 - 0,4,36
6254 - 0,10,32
6240 - 0,1,40
6259 - 0,7,42
6254 - 0,3,37
6259 - 0,7,52
6255 - 0,1,35
6255 - 0,2,45
6256 - 0,2,50
6257 - 0,9,34
