// NPC Spawns for map square 44,47
// Format: npcTypeId - level,localX,localY
18159 - 0,56,63
18159 - 0,59,61
18159 - 0,60,54
18159 - 0,63,53
18159 - 0,58,59
18159 - 0,54,45
18159 - 0,60,42
7235 - 0,4,57
7235 - 0,4,52
7235 - 0,12,49
7235 - 0,5,44
7288 - 0,8,40
7288 - 0,14,38
7288 - 0,6,38
128 - 0,24,37
7288 - 0,8,35
128 - 0,24,35
132 - 0,13,28
1028 - 0,7,17
132 - 0,14,21
6944 - 0,28,28
132 - 0,23,19
128 - 0,7,23
132 - 0,27,17
132 - 0,21,21
128 - 0,12,13
6944 - 0,22,21
191 - 0,25,13
132 - 0,28,16
128 - 0,13,8
128 - 0,14,8
6944 - 0,20,8
6944 - 0,18,7
1030 - 0,25,7
132 - 0,49,1
