// NPC Spawns for map square 45,83
// Format: npcTypeId - level,localX,localY
6212 - 0,6,0
6214 - 0,6,1
6255 - 0,7,1
6212 - 0,4,3
6255 - 0,4,2
3406 - 0,5,2
6257 - 0,7,0
6215 - 0,6,6
6218 - 0,8,2
3406 - 0,20,0
6211 - 0,21,1
9185 - 0,1,19
6282 - 0,1,18
6212 - 0,2,18
6283 - 0,6,15
6214 - 0,6,14
6215 - 0,8,16
6279 - 0,1,13
6215 - 0,12,16
6210 - 0,1,8
6275 - 0,0,5
6211 - 0,3,5
6215 - 0,16,40
6221 - 0,7,43
6213 - 0,7,45
6219 - 0,7,44
6221 - 0,7,47
6218 - 0,7,42
6215 - 0,8,50
6213 - 0,9,47
6213 - 0,13,43
6215 - 0,9,42
6215 - 0,10,50
6219 - 0,22,41
6213 - 0,19,41
6211 - 0,22,45
6218 - 0,22,50
6218 - 0,28,33
6213 - 0,31,27
6219 - 0,32,31
6211 - 0,27,37
6218 - 0,30,34
6213 - 0,28,43
6219 - 0,35,33
6221 - 0,30,33
6219 - 0,34,48
6221 - 0,37,35
6213 - 0,35,32
6219 - 0,38,32
6213 - 0,37,42
6219 - 0,39,35
6218 - 0,41,42
6210 - 0,39,34
6219 - 0,32,27
6213 - 0,40,34
6221 - 0,39,49
6215 - 0,45,47
6213 - 0,43,39
6221 - 0,47,36
6213 - 0,46,45
6215 - 0,43,48
6219 - 0,46,30
6221 - 0,46,35
6211 - 0,48,42
6211 - 0,46,42
6213 - 0,43,43
6211 - 0,46,39
6218 - 0,48,34
6213 - 0,47,46
6219 - 0,50,29
6213 - 0,51,35
6220 - 0,54,35
6213 - 0,55,36
6215 - 0,55,41
6221 - 0,22,46
6221 - 0,21,43
