// NPC Spawns for map square 44,55
// Format: npcTypeId - level,localX,localY
4289 - 2,28,14
6081 - 2,26,30
6080 - 2,36,11
6078 - 2,38,11
6079 - 2,34,20
4291 - 2,34,28
4292 - 2,37,20
6078 - 2,43,26
6079 - 2,47,29
4291 - 2,52,20
6081 - 2,53,17
6080 - 2,53,28
4292 - 2,58,31
4287 - 1,24,17
4295 - 1,37,13
8269 - 1,39,29
4300 - 1,50,20
6047 - 0,14,0
4296 - 0,25,18
4293 - 0,26,27
4294 - 0,28,29
4290 - 0,37,17
4288 - 0,35,28
70 - 0,47,20
8267 - 0,51,23
13696 - 0,57,33
8492 - 0,63,22
8266 - 0,63,23
13697 - 0,61,42
