// NPC Spawns for map square 49,66
// Format: npcTypeId - level,localX,localY
7160 - 3,15,51
7160 - 3,23,52
7160 - 3,18,54
7160 - 3,32,44
7159 - 3,33,49
7159 - 3,7,49
7159 - 3,10,32
7159 - 3,6,42
7159 - 3,4,29
7159 - 3,6,29
7159 - 3,2,22
7159 - 3,25,3
7159 - 3,25,13
7159 - 3,33,26
7159 - 3,31,29
7159 - 3,25,35
7158 - 2,21,37
7158 - 2,23,36
7158 - 2,21,37
7158 - 2,20,46
7158 - 2,23,41
7158 - 2,25,34
7158 - 2,27,32
7158 - 2,30,39
7158 - 2,28,42
7160 - 2,40,44
7160 - 2,43,33
7158 - 2,29,26
7158 - 2,27,20
7160 - 2,39,28
7158 - 2,29,18
7158 - 2,28,16
7158 - 2,28,17
7159 - 2,40,16
7159 - 2,40,13
7158 - 2,48,13
7158 - 2,30,10
7158 - 2,28,13
7158 - 2,28,27
7158 - 2,38,7
7158 - 2,29,5
7160 - 2,54,7
7159 - 2,56,10
7160 - 2,56,24
7160 - 2,54,34
7158 - 2,27,30
7158 - 2,5,44
7158 - 2,8,34
7158 - 2,13,42
7158 - 2,12,39
7158 - 2,13,35
7158 - 2,12,30
7158 - 2,12,29
7158 - 2,7,29
7158 - 2,11,27
7158 - 2,4,21
7162 - 2,5,20
7162 - 2,4,20
7161 - 2,9,15
7161 - 2,8,15
7162 - 2,9,13
7162 - 2,8,11
7158 - 1,6,13
7158 - 1,7,13
7158 - 1,7,15
7158 - 1,6,8
7158 - 1,6,15
7158 - 1,10,7
7159 - 1,16,10
7159 - 1,12,21
7159 - 1,15,31
7159 - 1,16,33
7158 - 1,22,8
7159 - 1,23,27
7159 - 1,19,28
7158 - 1,25,7
7158 - 1,25,12
7158 - 1,25,16
7159 - 1,10,42
7159 - 1,23,42
7159 - 1,23,35
7159 - 1,15,44
7160 - 1,27,47
7159 - 1,12,47
7159 - 1,7,50
7159 - 1,16,50
7158 - 2,7,37
7158 - 2,22,29
7158 - 2,24,11
7160 - 0,37,29
7160 - 0,38,38
7160 - 0,24,39
7160 - 0,19,46
7160 - 0,26,47
