// NPC Spawns for map square 53,55
// Format: npcTypeId - level,localX,localY
18163 - 0,58,8
16839 - 0,27,5
1657 - 0,21,22
1650 - 0,16,22
1651 - 0,18,29
1612 - 0,46,30
1653 - 0,15,41
1648 - 0,10,33
1654 - 0,15,39
1652 - 0,19,37
1648 - 0,14,48
1649 - 0,8,45
1649 - 0,15,47
412 - 0,20,44
1656 - 0,14,52
1651 - 0,15,48
1652 - 0,8,48
1655 - 0,24,50
1650 - 0,12,53
1648 - 0,13,52
1612 - 0,44,40
1612 - 0,46,40
1612 - 0,45,48
1612 - 0,47,48
1612 - 0,48,54
1612 - 0,48,39
1612 - 0,48,52
1612 - 0,53,36
1612 - 0,54,33
1612 - 0,54,51
2395 - 1,46,24
1605 - 1,52,32
1606 - 1,54,41
1606 - 1,53,43
1604 - 1,46,46
1607 - 1,42,53
1604 - 1,44,54
1607 - 1,48,54
1647 - 1,19,37
1645 - 1,17,41
1644 - 1,16,50
1646 - 1,14,43
1645 - 1,14,49
1643 - 1,7,41
1646 - 1,7,40
1619 - 1,24,34
1618 - 1,17,26
1619 - 1,20,22
1619 - 1,18,23
1618 - 1,22,24
1610 - 2,48,27
6815 - 2,49,24
1610 - 2,50,25
1610 - 2,50,39
1610 - 2,47,45
1613 - 2,23,50
1613 - 2,23,51
1615 - 2,20,28
1615 - 2,21,26
1615 - 2,19,28
1613 - 2,18,38
1615 - 2,15,28
1615 - 2,16,24
1613 - 2,15,42
1613 - 2,13,38
1613 - 2,13,49
1644 - 1,7,42
