// NPC Spawns for map square 34,49
// Format: npcTypeId - level,localX,localY
1193 - 0,63,27
1192 - 0,63,28
153 - 0,63,6
157 - 0,63,17
1192 - 0,60,30
157 - 0,59,48
1196 - 0,51,32
157 - 0,40,55
7012 - 0,63,52
19531 - 0,39,30
1195 - 0,39,34
1192 - 0,37,54
157 - 0,36,55
1192 - 0,32,59
1194 - 0,33,61
153 - 0,22,57
154 - 0,27,53
154 - 0,25,54
154 - 0,63,45
7012 - 0,51,11
157 - 0,44,3
1212 - 0,40,0
1212 - 0,40,4
1211 - 0,40,6
1211 - 0,42,3
7010 - 0,44,12
7010 - 0,48,1
157 - 0,48,0
157 - 0,40,24
1212 - 0,32,27
153 - 0,27,44
153 - 0,29,42
153 - 0,27,48
153 - 0,23,49
153 - 0,23,52
154 - 0,17,43
1211 - 0,21,52
1203 - 0,12,35
154 - 0,9,35
155 - 0,11,48
7120 - 0,4,50
1204 - 0,11,21
1204 - 0,16,17
1204 - 0,15,14
7121 - 0,9,14
1206 - 0,9,9
1204 - 0,5,8
1208 - 0,17,3
