// NPC Spawns for map square 45,54
// Format: npcTypeId - level,localX,localY
14874 - 0,10,50
15115 - 0,25,48
15118 - 0,21,45
14877 - 0,7,45
15119 - 0,23,45
5073 - 0,21,40
15116 - 0,22,42
14998 - 0,8,34
14997 - 0,6,38
14870 - 0,1,48
5073 - 0,24,40
14997 - 0,5,33
14999 - 0,7,33
14999 - 0,2,31
5073 - 0,23,28
14864 - 0,27,29
5073 - 0,27,38
14997 - 0,0,28
5073 - 0,22,26
14998 - 0,9,24
14860 - 0,5,19
15580 - 0,6,14
14879 - 0,21,16
14907 - 0,20,11
15001 - 0,7,9
232 - 0,0,10
15002 - 0,4,6
15013 - 0,40,0
15012 - 0,45,1
15039 - 0,41,2
14907 - 0,32,5
14907 - 0,32,7
15011 - 0,42,6
15038 - 0,43,7
15036 - 0,46,7
15051 - 0,35,9
15040 - 0,44,8
15037 - 0,43,8
2234 - 0,42,7
14858 - 0,37,18
15054 - 0,43,18
14883 - 0,45,21
15052 - 0,37,21
15051 - 0,44,22
5073 - 0,39,19
15053 - 0,37,23
5073 - 0,37,30
15117 - 0,29,39
16678 - 0,37,41
15048 - 0,48,43
796 - 0,39,58
13935 - 1,25,59
3479 - 1,26,58
13950 - 1,26,61
9698 - 1,27,60
13965 - 1,27,61
797 - 1,33,57
455 - 0,30,46
14887 - 0,43,45
15049 - 0,44,44
1192 - 0,49,38
5073 - 0,38,18
14911 - 0,50,20
14911 - 0,41,13
