// NPC Spawns for map square 43,49
// Format: npcTypeId - level,localX,localY
132 - 0,62,49
47 - 0,60,43
132 - 0,59,43
708 - 0,61,53
1055 - 0,59,55
437 - 0,55,54
1884 - 0,54,37
789 - 0,59,38
183 - 0,56,46
8 - 0,51,40
799 - 0,50,60
6349 - 0,46,50
6346 - 0,46,34
8 - 0,44,42
6350 - 0,46,47
6346 - 0,45,52
6348 - 0,42,45
6347 - 0,40,47
794 - 0,42,55
183 - 0,39,48
183 - 0,40,33
846 - 0,38,46
793 - 0,37,52
16842 - 0,38,62
708 - 0,34,38
128 - 0,29,40
99 - 0,34,54
8 - 0,28,47
799 - 0,25,55
788 - 0,24,49
792 - 0,23,57
799 - 0,19,58
799 - 0,27,58
799 - 0,26,61
799 - 0,24,61
99 - 0,31,61
3227 - 0,12,51
799 - 0,9,55
128 - 0,7,48
132 - 0,0,40
128 - 0,3,34
132 - 0,3,30
151 - 0,3,20
1178 - 0,16,29
1171 - 0,19,34
151 - 0,9,19
