// NPC Spawns for map square 48,154
// Format: npcTypeId - level,localX,localY
3382 - 0,9,24
3382 - 0,11,23
86 - 0,29,26
59 - 0,25,25
3382 - 0,11,28
3382 - 0,11,31
3382 - 0,13,30
3382 - 0,10,29
5336 - 0,22,35
5335 - 0,22,36
86 - 0,21,39
3382 - 0,12,42
4926 - 0,18,39
91 - 0,25,44
3382 - 0,9,34
5336 - 0,27,53
91 - 0,22,55
5335 - 0,25,54
134 - 0,12,57
5332 - 0,43,55
92 - 0,40,51
90 - 0,56,50
5332 - 0,57,55
7114 - 0,58,62
5333 - 0,59,50
5337 - 0,63,24
92 - 0,63,22
5322 - 0,60,6
13246 - 0,57,19
5321 - 0,55,8
47 - 0,48,26
13246 - 0,49,21
13100 - 0,53,23
13100 - 0,49,24
13246 - 0,45,16
5320 - 0,47,5
