// NPC Spawns for map square 47,52
// Format: npcTypeId - level,localX,localY
11644 - 0,0,26
11646 - 0,0,27
6200 - 0,6,25
6200 - 0,7,25
15785 - 0,6,32
17132 - 0,6,40
4251 - 0,8,45
18928 - 0,16,44
3228 - 0,27,28
13939 - 0,28,28
3229 - 0,31,28
16635 - 0,26,50
12237 - 0,38,34
16868 - 0,38,56
8580 - 0,45,43
659 - 0,44,43
56 - 0,34,16
6636 - 0,35,15
6637 - 0,37,15
6638 - 0,39,15
8089 - 0,22,22
6642 - 0,37,13
6663 - 0,30,12
708 - 0,38,9
6647 - 0,37,8
6639 - 0,35,6
6640 - 0,37,6
6641 - 0,39,6
65 - 0,40,5
3294 - 0,14,13
3295 - 0,12,10
382 - 0,10,13
3221 - 0,10,7
3220 - 0,4,7
