// NPC Spawns for map square 50,53
// Format: npcTypeId - level,localX,localY
645 - 0,20,2
5924 - 0,23,3
756 - 0,22,4
551 - 0,8,4
733 - 0,26,7
552 - 0,8,9
5909 - 0,19,8
5910 - 0,30,9
12345 - 0,33,6
16710 - 0,36,1
12345 - 0,39,12
12347 - 0,38,12
12345 - 0,46,1
11 - 0,43,14
5913 - 0,55,9
3373 - 0,62,8
16709 - 0,58,19
368 - 0,63,15
12346 - 0,61,10
553 - 0,51,26
553 - 0,52,26
553 - 0,53,26
2759 - 0,54,26
2759 - 0,55,26
2759 - 0,56,26
15785 - 0,52,34
6135 - 0,52,38
8079 - 0,56,41
5932 - 0,55,50
5935 - 0,60,50
5943 - 0,63,49
5916 - 0,44,43
5933 - 0,54,51
5934 - 0,59,51
13938 - 0,40,41
5939 - 1,53,63
5940 - 1,59,53
5931 - 1,63,63
5938 - 0,53,62
548 - 0,6,22
2778 - 0,4,27
9362 - 0,2,32
359 - 0,3,44
546 - 0,4,39
11269 - 0,14,33
13727 - 0,8,41
547 - 0,15,42
13968 - 0,11,46
13971 - 0,11,44
5925 - 0,19,39
522 - 0,17,25
11270 - 0,22,32
781 - 0,21,42
783 - 0,20,45
523 - 0,14,22
550 - 0,31,33
549 - 0,30,46
