// NPC Spawns for map square 45,153
// Format: npcTypeId - level,localX,localY
4682 - 0,16,8
4665 - 0,13,9
55 - 0,21,12
6794 - 0,18,10
4666 - 0,22,5
5332 - 0,7,19
5334 - 0,6,24
90 - 0,6,29
5333 - 0,1,27
5332 - 0,1,33
5334 - 0,5,31
61 - 0,10,42
61 - 0,15,41
61 - 0,15,43
78 - 0,24,44
5344 - 0,23,58
5343 - 0,28,59
78 - 0,33,44
5342 - 0,35,59
103 - 0,36,60
5348 - 0,38,57
78 - 0,44,36
78 - 0,38,33
78 - 0,38,36
5343 - 0,29,27
5344 - 0,39,27
52 - 0,28,15
5342 - 0,25,26
78 - 0,30,42
78 - 0,49,38
179 - 0,54,21
82 - 0,52,18
4694 - 0,51,15
179 - 0,59,15
4695 - 0,50,9
4696 - 0,54,8
4666 - 0,36,7
4665 - 0,34,17
52 - 0,33,5
4683 - 0,28,15
