// NPC Spawns for map square 42,54
// Format: npcTypeId - level,localX,localY
6139 - 0,50,24
6199 - 0,48,9
11467 - 0,50,10
11468 - 0,51,11
6184 - 0,49,15
11466 - 0,46,10
11469 - 0,44,11
11461 - 0,45,14
6183 - 0,46,14
495 - 0,39,39
495 - 0,40,39
494 - 0,41,39
8080 - 0,41,27
494 - 0,33,39
495 - 0,34,39
1 - 0,26,21
388 - 0,30,33
388 - 0,23,18
1798 - 0,14,18
388 - 0,13,17
5 - 0,12,38
3 - 0,11,38
4 - 0,12,42
820 - 0,9,36
4 - 0,9,40
2 - 0,7,35
5 - 0,5,32
1 - 0,5,40
19293 - 0,4,27
388 - 0,15,24
494 - 0,36,39
4247 - 0,48,44
3787 - 0,63,51
