// NPC Spawns for map square 29,81
// Format: npcTypeId - level,localX,localY
4409 - 0,4,46
4415 - 0,2,50
4413 - 0,15,51
4415 - 0,14,52
4404 - 0,14,48
4404 - 0,14,58
4415 - 0,13,56
4413 - 0,17,49
4413 - 0,17,51
4404 - 0,15,52
4406 - 0,17,58
4413 - 0,18,56
4407 - 0,5,41
4415 - 0,17,43
4415 - 0,4,42
4407 - 0,7,40
4408 - 0,5,38
4409 - 0,7,43
4409 - 0,4,41
4408 - 0,9,33
4408 - 0,2,39
4408 - 0,4,29
4408 - 0,6,35
4404 - 0,17,35
4404 - 0,18,26
4415 - 0,17,26
4404 - 0,17,29
4415 - 0,5,21
4415 - 0,18,37
4407 - 0,6,20
4409 - 0,9,20
4415 - 0,10,19
4415 - 0,10,20
4404 - 0,16,32
4415 - 0,7,18
4415 - 0,17,17
4408 - 0,6,17
4407 - 0,6,16
4415 - 0,5,15
4415 - 0,18,15
4410 - 0,18,17
4411 - 0,26,13
4412 - 0,19,16
4415 - 0,28,15
4411 - 0,21,11
4406 - 0,36,9
4414 - 0,39,11
4406 - 0,38,14
4406 - 0,37,7
4406 - 0,41,14
4406 - 0,45,5
4406 - 0,37,11
4406 - 0,43,14
4406 - 0,44,17
4406 - 0,46,6
4406 - 0,46,14
4406 - 0,45,24
4406 - 0,45,23
4406 - 0,46,23
4406 - 0,49,10
4415 - 0,51,20
4406 - 0,45,25
4406 - 0,43,26
4415 - 0,56,22
4415 - 0,55,21
153 - 0,56,29
4414 - 0,36,32
153 - 0,50,34
4414 - 0,36,34
4414 - 0,37,5
4414 - 0,40,5
