// NPC Spawns for map square 50,154
// Format: npcTypeId - level,localX,localY
47 - 0,23,3
47 - 0,28,6
8829 - 0,25,5
47 - 0,29,10
47 - 0,31,9
47 - 0,27,11
47 - 0,27,12
47 - 0,33,9
47 - 0,38,7
47 - 0,36,1
8828 - 0,35,12
12348 - 0,35,10
47 - 0,39,9
2946 - 0,45,8
2947 - 0,45,11
47 - 0,44,10
47 - 0,49,11
47 - 0,49,10
47 - 0,26,15
61 - 0,62,14
61 - 0,62,15
47 - 0,33,24
47 - 0,42,30
47 - 0,46,34
5307 - 0,45,34
47 - 0,47,36
47 - 0,41,39
47 - 0,47,43
5321 - 0,29,48
107 - 0,57,49
107 - 0,52,48
91 - 0,47,61
5348 - 0,38,58
103 - 0,46,58
5345 - 0,40,61
5320 - 0,25,48
5322 - 0,25,46
5319 - 0,26,47
5339 - 0,19,51
92 - 0,11,52
61 - 0,11,38
61 - 0,9,37
61 - 0,9,35
61 - 0,8,31
60 - 0,8,28
