// NPC Spawns for map square 36,81
// Format: npcTypeId - level,localX,localY
5370 - 0,52,18
5369 - 0,52,17
8645 - 0,55,28
8645 - 0,56,25
8645 - 0,58,28
8645 - 0,57,25
8645 - 0,58,26
8645 - 0,56,31
5366 - 0,48,10
5371 - 0,48,7
4385 - 0,46,7
4387 - 0,49,9
4384 - 0,46,10
5366 - 0,47,12
4384 - 0,48,3
4387 - 0,44,10
5369 - 0,44,15
5365 - 0,46,13
4385 - 0,47,9
5365 - 0,40,13
4384 - 0,30,16
4382 - 0,23,13
4382 - 0,28,9
4382 - 0,25,12
4384 - 0,23,14
4384 - 0,22,13
4382 - 0,26,14
5366 - 0,24,17
4382 - 0,27,18
4382 - 0,25,19
5371 - 0,47,19
4382 - 0,21,14
4385 - 0,26,20
4382 - 0,21,19
4382 - 0,25,24
4388 - 0,1,41
5371 - 0,14,37
5370 - 0,13,41
4383 - 0,14,40
5369 - 0,15,42
4388 - 0,9,40
5371 - 0,12,44
4383 - 0,17,42
4388 - 0,1,45
4383 - 0,13,45
4383 - 0,16,41
4383 - 0,8,45
4383 - 0,12,47
5366 - 0,19,27
4383 - 0,13,41
5370 - 0,21,41
4381 - 0,53,53
4381 - 0,52,55
4381 - 0,51,58
4381 - 0,54,53
4381 - 0,55,60
4381 - 0,56,62
4381 - 0,56,61
