// NPC Spawns for map square 42,148
// Format: npcTypeId - level,localX,localY
1593 - 0,7,10
4703 - 0,11,19
1593 - 0,17,14
4702 - 0,22,9
1594 - 0,24,13
1594 - 0,27,6
1593 - 0,28,6
84 - 0,31,13
1590 - 0,41,18
1590 - 0,43,14
1593 - 0,47,14
1593 - 0,11,20
1594 - 0,8,20
1589 - 0,13,33
4672 - 0,7,40
1594 - 0,17,28
1593 - 0,16,40
4671 - 0,20,45
53 - 0,20,37
1589 - 0,27,44
4667 - 0,25,29
1593 - 0,20,49
4668 - 0,26,34
1593 - 0,23,50
4670 - 0,25,54
1589 - 0,32,38
1593 - 0,28,32
4667 - 0,41,43
53 - 0,44,45
4669 - 0,32,56
