// NPC Spawns for map square 54,53
// Format: npcTypeId - level,localX,localY
1236 - 0,27,57
1052 - 0,29,58
1052 - 0,27,55
1052 - 0,9,51
1052 - 0,9,56
1229 - 0,18,58
1233 - 0,27,49
1232 - 0,28,52
1229 - 0,16,45
1234 - 0,17,41
1236 - 0,27,46
1227 - 0,26,47
1236 - 0,31,54
1232 - 0,34,51
1234 - 0,17,44
681 - 0,18,44
1235 - 0,22,42
1052 - 0,24,42
1052 - 0,30,42
1236 - 0,34,52
1052 - 0,35,55
1230 - 0,8,39
1236 - 0,22,39
1227 - 0,21,40
1052 - 0,34,40
1227 - 0,8,39
1227 - 0,7,32
1229 - 0,5,33
1052 - 0,11,25
1052 - 0,14,24
1052 - 0,4,24
1052 - 0,3,22
681 - 0,3,39
1052 - 0,2,41
1227 - 0,6,39
1052 - 0,4,24
1052 - 0,8,13
1232 - 0,7,11
1227 - 0,9,13
1234 - 0,10,11
1052 - 0,0,5
1233 - 0,61,61
681 - 0,51,51
1568 - 0,52,48
1231 - 0,50,52
681 - 0,55,48
1052 - 0,63,29
1229 - 0,57,22
1227 - 0,58,16
1227 - 0,60,21
1227 - 0,53,21
1052 - 0,55,17
1052 - 0,52,12
1052 - 0,57,6
1052 - 0,60,10
1052 - 0,57,2
1052 - 0,50,0
