// NPC Spawns for map square 45,53
// Format: npcTypeId - level,localX,localY
15043 - 0,20,63
14862 - 0,14,61
15042 - 0,19,61
18560 - 0,9,58
14911 - 0,2,55
1079 - 0,11,55
19294 - 0,0,53
14856 - 0,14,53
15116 - 0,12,53
15085 - 0,1,52
15005 - 0,11,52
14911 - 0,2,44
15115 - 0,11,49
14881 - 0,16,50
15003 - 0,10,47
15004 - 0,11,48
2580 - 0,9,43
14911 - 0,1,47
15117 - 0,5,42
15055 - 0,1,38
15119 - 0,4,36
15120 - 0,14,36
15086 - 0,2,31
13106 - 0,6,31
13107 - 0,6,32
587 - 0,8,28
14911 - 0,2,26
1758 - 0,19,10
14868 - 0,29,31
14999 - 0,31,37
14997 - 0,31,39
8480 - 0,31,31
15119 - 0,31,30
14909 - 0,36,36
14910 - 0,33,37
14998 - 0,37,39
12364 - 0,37,35
7 - 0,38,38
14908 - 0,39,38
1213 - 0,41,27
14908 - 0,31,40
15115 - 0,38,39
14910 - 0,32,39
14909 - 0,37,40
15116 - 0,42,38
15115 - 0,43,49
15056 - 0,41,53
6988 - 0,49,56
14866 - 0,51,57
14920 - 0,39,62
8417 - 0,39,58
454 - 0,36,46
15119 - 0,46,45
