// NPC Spawns for map square 55,53
// Format: npcTypeId - level,localX,localY
1052 - 0,24,63
1228 - 0,3,60
1052 - 0,0,60
5117 - 0,13,53
1052 - 0,2,48
1227 - 0,11,48
5119 - 0,15,55
1231 - 0,4,42
5118 - 0,21,60
5117 - 0,28,57
5117 - 0,32,50
5117 - 0,29,60
5117 - 0,30,59
5117 - 0,41,52
1052 - 0,45,54
1227 - 0,53,56
5117 - 0,33,47
5117 - 0,40,44
5117 - 0,36,43
5117 - 0,25,47
1234 - 0,33,45
1229 - 0,25,34
1227 - 0,24,40
1052 - 0,10,37
1227 - 0,3,29
1052 - 0,0,20
1052 - 0,1,20
1052 - 0,1,17
1230 - 0,0,11
1233 - 0,2,11
1227 - 0,15,12
1227 - 0,12,11
1052 - 0,11,4
1231 - 0,2,0
5119 - 0,29,58
