// NPC Spawns for map square 45,51
// Format: npcTypeId - level,localX,localY
2677 - 0,53,43
43 - 0,46,63
5161 - 0,45,63
1765 - 0,40,57
43 - 0,43,59
1765 - 0,43,60
8879 - 0,48,58
5146 - 0,49,58
3673 - 0,44,54
43 - 0,44,52
2689 - 0,38,55
5161 - 0,44,57
6794 - 0,60,25
397 - 0,57,11
81 - 0,55,13
2310 - 0,50,9
1767 - 0,51,5
2732 - 0,51,14
2686 - 0,44,0
1767 - 0,44,15
81 - 0,43,9
2685 - 0,41,7
2687 - 0,40,9
2685 - 0,35,11
2687 - 0,31,18
2686 - 0,33,14
2687 - 0,32,20
2310 - 0,42,22
1767 - 0,41,22
2685 - 0,29,23
81 - 0,43,24
2688 - 0,24,25
397 - 0,44,26
2685 - 0,25,27
805 - 0,51,26
5065 - 0,46,41
81 - 0,48,19
2733 - 0,57,27
