// NPC Spawns for map square 31,81
// Format: npcTypeId - level,localX,localY
5376 - 0,47,47
4396 - 0,44,47
5375 - 0,46,51
4396 - 0,44,51
4392 - 0,46,50
4396 - 0,47,62
4396 - 0,47,57
4392 - 0,48,47
5375 - 0,50,47
4392 - 0,50,50
4396 - 0,50,48
4396 - 0,52,61
4396 - 0,52,60
4396 - 0,48,62
4396 - 0,50,57
5375 - 0,49,58
4396 - 0,49,56
4389 - 0,57,48
4389 - 0,62,50
4393 - 0,56,34
4393 - 0,57,35
4393 - 0,55,34
4393 - 0,57,33
4396 - 0,58,34
4393 - 0,55,32
4944 - 0,55,28
4393 - 0,53,28
4393 - 0,60,35
4393 - 0,59,34
4393 - 0,53,25
4396 - 0,58,24
4395 - 0,54,23
4396 - 0,52,19
4396 - 0,61,16
4396 - 0,60,16
4396 - 0,56,7
4390 - 0,57,4
4396 - 0,58,8
4396 - 0,60,3
4396 - 0,58,9
4390 - 0,55,3
4396 - 0,39,2
4390 - 0,58,5
5380 - 0,46,6
4396 - 0,46,8
5379 - 0,44,5
4394 - 0,44,4
4396 - 0,40,1
4396 - 0,41,3
5379 - 0,47,10
4394 - 0,44,11
5380 - 0,45,6
4390 - 0,54,10
4396 - 0,35,10
4396 - 0,34,7
4396 - 0,34,2
4396 - 0,34,8
4396 - 0,34,10
4394 - 0,33,2
4396 - 0,33,8
4396 - 0,32,10
4390 - 0,59,8
4396 - 0,30,5
5380 - 0,31,1
4391 - 0,24,16
4391 - 0,26,20
4391 - 0,22,21
4396 - 0,22,18
4391 - 0,23,24
4393 - 0,22,14
5378 - 0,21,24
5377 - 0,21,22
5377 - 0,21,14
4396 - 0,21,23
4391 - 0,22,16
4391 - 0,20,17
4396 - 0,19,20
4391 - 0,21,19
