// NPC Spawns for map square 38,158
// Format: npcTypeId - level,localX,localY
2449 - 0,12,25
2455 - 0,11,26
2455 - 0,14,25
2455 - 0,9,30
2455 - 0,11,27
1266 - 0,10,47
1268 - 0,11,46
1268 - 0,11,47
2449 - 0,19,22
2449 - 0,20,21
2449 - 0,22,20
2449 - 0,20,24
2455 - 0,19,34
1268 - 0,22,47
2455 - 0,20,43
2455 - 0,20,41
1266 - 0,17,48
2455 - 0,24,43
1266 - 0,24,49
2455 - 0,25,25
2449 - 0,26,36
2449 - 0,26,35
2455 - 0,33,27
1266 - 0,28,41
1268 - 0,29,42
2455 - 0,42,38
2449 - 0,35,29
2449 - 0,34,29
2455 - 0,34,41
2449 - 0,30,16
2455 - 0,48,38
2455 - 0,50,33
2455 - 0,50,34
2455 - 0,41,35
2455 - 0,46,17
1268 - 0,28,43
2455 - 0,53,20
2455 - 0,53,24
2449 - 0,45,46
2449 - 0,46,46
2455 - 0,47,46
1268 - 0,40,50
1268 - 0,38,52
2455 - 0,33,52
