// NPC Spawns for map square 56,54
// Format: npcTypeId - level,localX,localY
1223 - 0,0,23
1226 - 0,2,26
1223 - 0,2,18
1219 - 0,10,1
1223 - 0,7,8
1219 - 0,9,28
1219 - 0,10,13
1226 - 0,12,21
1223 - 0,13,21
681 - 0,18,3
1221 - 0,22,2
1223 - 0,25,11
1219 - 0,25,3
1226 - 0,26,9
1223 - 0,27,11
1219 - 0,34,15
412 - 0,33,1
412 - 0,33,11
1223 - 0,36,8
1226 - 0,44,20
1219 - 0,46,17
1219 - 0,46,12
1223 - 0,57,16
1219 - 0,54,44
1698 - 0,62,44
412 - 0,45,54
1226 - 0,45,53
1219 - 0,50,57
1219 - 0,45,51
1223 - 0,36,46
1226 - 0,35,46
1226 - 0,33,58
412 - 0,40,42
1219 - 0,34,42
412 - 0,36,53
1219 - 0,27,52
412 - 0,31,48
412 - 0,26,41
1226 - 0,23,41
1219 - 0,47,40
1221 - 0,32,36
1226 - 0,29,35
1226 - 0,16,50
412 - 0,9,54
1223 - 0,3,51
1219 - 0,0,46
