// NPC Spawns for map square 47,53
// Format: npcTypeId - level,localX,localY
18151 - 0,2,17
18151 - 0,0,14
209 - 0,3,62
1841 - 0,13,59
3268 - 0,9,60
3280 - 0,5,59
3269 - 0,13,54
3276 - 0,3,53
3279 - 0,7,56
3281 - 0,10,52
3270 - 0,12,57
3274 - 0,0,63
3282 - 0,0,50
3271 - 0,10,55
118 - 0,15,46
3278 - 0,6,49
118 - 0,14,47
118 - 0,19,48
3277 - 0,13,46
3284 - 0,20,44
118 - 0,3,44
3284 - 0,37,35
3283 - 0,44,47
6997 - 0,38,42
6997 - 0,45,42
6997 - 0,50,33
6997 - 0,53,35
6997 - 0,47,34
3283 - 0,53,32
3288 - 0,53,43
3284 - 0,36,21
3259 - 0,58,39
