// NPC Spawns for map square 47,75
// Format: npcTypeId - level,localX,localY
2265 - 0,50,11
2265 - 0,51,13
2265 - 0,53,14
2265 - 0,50,13
2265 - 0,48,12
2265 - 0,51,10
2265 - 0,52,9
2265 - 0,53,11
2265 - 0,46,13
2265 - 0,48,10
2265 - 0,52,20
2265 - 0,55,21
2265 - 0,52,24
2265 - 0,55,24
2265 - 0,55,26
2265 - 0,51,20
2265 - 0,56,22
2265 - 0,51,22
2265 - 0,52,20
2265 - 0,49,11
2265 - 0,51,10
2265 - 0,41,9
2265 - 0,37,10
2265 - 0,33,9
2265 - 0,34,8
2265 - 0,35,10
2265 - 0,33,10
2265 - 0,31,10
2265 - 0,25,8
2265 - 0,23,8
2265 - 0,21,8
2265 - 0,19,7
2265 - 0,19,6
2265 - 0,17,9
2265 - 0,19,10
2265 - 0,20,9
2265 - 0,22,9
2265 - 0,20,7
2265 - 0,17,10
2265 - 0,18,12
2265 - 0,21,11
2265 - 0,13,13
2265 - 0,12,17
2265 - 0,10,19
2265 - 0,13,18
2265 - 0,12,18
2265 - 0,9,17
2265 - 0,11,16
2265 - 0,51,10
2265 - 0,51,12
2265 - 0,49,10
2264 - 0,52,12
2264 - 0,48,15
2264 - 0,45,13
2264 - 0,53,15
2264 - 0,54,20
2264 - 0,52,23
2264 - 0,57,22
2264 - 0,54,29
2264 - 0,56,31
2263 - 0,49,11
2263 - 0,53,14
2263 - 0,40,8
2264 - 0,22,8
2264 - 0,18,11
2264 - 0,21,12
2264 - 0,20,8
2263 - 0,21,8
2263 - 0,24,9
2263 - 0,11,11
2265 - 0,55,35
2265 - 0,51,43
2265 - 0,51,45
2265 - 0,47,48
2265 - 0,43,53
2265 - 0,42,52
2265 - 0,45,50
2265 - 0,51,49
2265 - 0,49,45
2265 - 0,46,48
2265 - 0,39,51
2265 - 0,35,54
2265 - 0,32,56
2263 - 0,30,55
2263 - 0,28,55
2264 - 0,23,54
2264 - 0,23,53
2265 - 0,13,49
2265 - 0,11,47
2265 - 0,9,47
2265 - 0,10,45
2265 - 0,12,44
2265 - 0,9,49
2265 - 0,14,50
2265 - 0,18,48
2265 - 0,21,53
2265 - 0,22,52
2265 - 0,14,51
2265 - 0,9,39
2265 - 0,9,35
2265 - 0,8,34
2265 - 0,6,30
2265 - 0,8,28
2265 - 0,8,24
2265 - 0,6,24
2263 - 0,5,28
2264 - 0,7,37
2264 - 0,11,43
