// NPC Spawns for map square 54,54
// Format: npcTypeId - level,localX,localY
1920 - 0,41,22
2020 - 0,47,21
6032 - 0,47,33
681 - 0,51,35
1036 - 0,58,23
1036 - 0,58,25
6031 - 0,55,27
681 - 0,56,27
8091 - 0,51,30
681 - 0,53,35
6044 - 0,51,38
6030 - 0,43,20
6028 - 0,44,38
6034 - 0,50,36
6037 - 0,44,21
681 - 0,46,11
681 - 0,61,14
681 - 0,55,17
681 - 0,41,11
1038 - 0,51,40
6026 - 0,36,31
6033 - 0,31,22
6035 - 0,27,36
4246 - 0,24,28
681 - 0,19,9
6029 - 0,18,17
681 - 0,13,21
681 - 0,11,29
681 - 0,7,10
681 - 0,6,8
681 - 0,4,35
681 - 0,7,37
681 - 0,2,34
1227 - 0,22,1
681 - 0,46,57
681 - 0,46,57
8482 - 0,52,51
681 - 0,51,62
8481 - 0,59,53
681 - 0,59,48
19294 - 0,58,59
681 - 0,57,36
1228 - 0,56,8
681 - 0,51,0
