// NPC Spawns for map square 41,149
// Format: npcTypeId - level,localX,localY
1588 - 0,60,39
1593 - 0,55,28
1593 - 0,45,25
1587 - 0,55,11
112 - 0,45,10
1593 - 0,37,12
112 - 0,40,19
1593 - 0,52,49
1587 - 0,50,58
1588 - 0,59,57
112 - 0,31,38
1588 - 0,32,52
1587 - 0,18,46
1593 - 0,18,47
110 - 2,10,50
1593 - 2,8,48
1594 - 2,17,60
1585 - 2,11,39
1593 - 2,15,36
1594 - 2,10,36
1586 - 2,18,32
1585 - 2,19,30
1585 - 2,11,27
110 - 2,14,22
1593 - 2,14,20
1594 - 2,13,17
1586 - 2,7,17
1585 - 2,5,11
1594 - 2,3,6
112 - 0,23,0
1588 - 0,23,3
112 - 0,11,8
1587 - 0,24,19
4688 - 0,36,12
112 - 0,28,29
