// NPC Spawns for map square 41,57
// Format: npcTypeId - level,localX,localY
1309 - 0,42,2
1311 - 0,31,5
1281 - 0,35,5
1318 - 0,28,1
1295 - 0,34,11
1296 - 0,33,15
1297 - 0,36,15
3696 - 0,41,12
1318 - 0,45,17
1284 - 0,31,20
13175 - 0,33,20
1294 - 0,34,21
1283 - 0,22,13
1315 - 0,20,24
1300 - 0,38,25
1285 - 0,36,25
1286 - 0,33,27
1282 - 0,17,33
1317 - 0,26,32
1276 - 0,34,31
1305 - 0,21,29
1275 - 0,33,32
1316 - 0,13,28
1317 - 0,27,34
1318 - 0,26,35
1317 - 0,23,37
1331 - 0,9,41
1331 - 0,9,43
1331 - 0,9,44
8717 - 0,31,46
1332 - 0,15,47
1332 - 0,15,49
1332 - 0,18,49
1302 - 0,17,51
1332 - 0,18,51
1277 - 0,35,30
2939 - 0,32,52
3695 - 0,30,54
1310 - 0,45,54
3116 - 0,46,59
1318 - 0,45,59
1318 - 0,49,53
1303 - 0,40,47
1289 - 0,42,46
1307 - 0,55,41
1318 - 0,39,38
1278 - 0,43,36
1269 - 0,47,36
1274 - 0,36,32
1304 - 0,5,45
1323 - 0,3,55
1324 - 0,4,56
