// NPC Spawns for map square 49,150
// Format: npcTypeId - level,localX,localY
1711 - 0,15,46
1711 - 0,19,47
1711 - 0,19,48
1714 - 0,21,40
1715 - 0,25,31
1717 - 0,26,35
1715 - 0,26,36
1710 - 0,30,38
1717 - 0,26,33
1717 - 0,28,33
1717 - 0,31,33
1715 - 0,33,34
1714 - 0,33,36
1717 - 0,28,31
1717 - 0,30,31
1712 - 0,32,34
1715 - 0,35,27
1710 - 0,28,30
1714 - 0,32,30
1712 - 0,21,33
1710 - 0,28,34
1713 - 0,28,29
2081 - 0,31,28
1710 - 0,24,29
1714 - 0,32,30
1715 - 0,15,26
1712 - 0,19,26
1711 - 0,31,27
1714 - 0,27,26
1714 - 0,10,20
1714 - 0,18,29
1711 - 0,29,24
1711 - 0,36,24
1715 - 0,38,43
1714 - 0,38,43
1711 - 0,37,40
1711 - 0,24,26
1714 - 0,35,35
1712 - 0,38,40
1711 - 0,13,18
1710 - 0,22,19
1710 - 0,38,16
1710 - 0,20,14
1714 - 0,39,17
