// NPC Spawns for map square 33,82
// Format: npcTypeId - level,localX,localY
4401 - 0,15,19
4401 - 0,12,21
4401 - 0,19,21
4400 - 0,6,27
4400 - 0,22,23
4401 - 0,9,25
4401 - 0,10,24
4401 - 0,10,21
4400 - 0,15,26
4401 - 0,9,27
4400 - 0,9,29
4400 - 0,21,30
4400 - 0,19,25
4400 - 0,16,22
4401 - 0,18,26
4401 - 0,17,24
4400 - 0,13,23
4400 - 0,20,24
4401 - 0,9,28
4401 - 0,19,26
4401 - 0,15,22
4400 - 0,20,28
4400 - 0,7,29
4399 - 0,10,43
4399 - 0,7,48
4399 - 0,9,48
4399 - 0,9,51
4399 - 0,13,56
4399 - 0,20,52
4399 - 0,16,56
4400 - 0,37,55
4400 - 0,36,54
4400 - 0,38,56
4399 - 0,13,58
4400 - 0,33,57
4400 - 0,36,56
4400 - 0,35,57
4400 - 0,39,60
4400 - 0,37,59
4400 - 0,39,56
4400 - 0,35,59
4400 - 0,38,59
4400 - 0,38,61
4398 - 0,51,38
4399 - 0,56,50
4402 - 0,58,42
4399 - 0,54,52
4403 - 0,58,40
4402 - 0,57,44
4398 - 0,48,34
4398 - 0,52,34
4398 - 0,52,32
4403 - 0,60,33
4402 - 0,60,35
4402 - 0,60,29
4401 - 0,46,27
4403 - 0,61,27
4401 - 0,45,26
4400 - 0,44,25
4401 - 0,44,24
4403 - 0,62,25
4400 - 0,41,24
4399 - 0,51,54
4400 - 0,42,23
